type,dim,name,mae,rmse,r2
type1,0,c12,0.011943571875000001,0.013732321488872636,0.5990346153286898
type1,1,c13,0.01304166125,0.015048330189095939,0.5312600581908747
type1,2,c1e,0.0030151778125000004,0.003676822319418631,-6.866722983355648
type1,3,c1tr,0.005229168437500001,0.006191973154121592,
type1,4,c1tl,0.00411455484375,0.005058063492533636,
type1,5,c1br,0.004714724531250001,0.005732705591243409,0.4016955235882357
type1,6,c1bl,0.00578177546875,0.006881703538555493,0.014863589493211538
type2,0,c12,0.005408687499999999,0.006658315303071855,0.979542850071734
type2,1,c1e,0.0026882535416666666,0.003196970326312541,-2.4002045988001988
type2,2,c1t,0.005303362708333333,0.0069433437950224735,
type2,3,c1b,0.003077080416666667,0.0037402228098175065,-0.2346437529767189
type2,4,c1d2,0.004518609375,0.005207627342311028,0.29385636041218066
type3,0,c12,0.0148159575,0.018056148090421133,0.6065673710662639
type3,1,c1e,0.0055904728125,0.007024796568431049,-11.000268844948586
type3,2,c1t,0.0061204368749999995,0.007489208001577587,
type3,3,c1b,0.0050945865625,0.006463668759716449,-20.024180342884556
type3,4,c1d2,0.004694871874999999,0.006090282697047506,0.08561726645599521
